id," question"
116,在保留两位小数的情况下，请计算出天地源股份有限公司2019年的财务费用率
175,在保留两位小数的情况下，请计算出厦门象屿股份有限公司2019年的财务费用率
187,请告诉我2021年华新水泥的年报中，财务费用率保留两位小数为多少。
317,请提供迪马股份2020年的财务费用率并保留2位小数
327,请告诉我2020年彩虹显示器件股份有限公司的年报中，财务费用率保留两位小数为多少。
649,在2019年的财务数据中，青岛港国际股份有限公司财务费用率是多少？保留两位小数
716,请告诉我2019年瀚蓝环境的年报中，财务费用率保留两位小数为多少。
1318,在2021年的财务数据中，北汽蓝谷财务费用率是多少？保留两位小数
1350,华创阳安2019年的财务费用率保留两位小数是多少？
1424,请提供通威股份有限公司2019年的财务费用率并保留2位小数
1497,在保留两位小数的情况下，请计算出明阳智慧能源集团股份公司2019年的财务费用率
1634,请告诉我2019年福能股份的年报中，财务费用率保留两位小数为多少。
1688,请提供浙江龙盛集团股份有限公司2020年的财务费用率并保留2位小数
1822,在保留两位小数的情况下，请计算出山东钢铁股份有限公司2019年的财务费用率
1968,天富能源2020年的财务费用率保留两位小数是多少？
105,根据2017年的年报数据，请简要介绍浙江核新同花顺网络信息股份有限公司的现金流情况。
1008,根据2016年的年报数据，请简要介绍同花顺的研发情况。
940,北鼎股份在2019年的企业名称是什么？
884,根据2020年的年报数据，长远锂科未来发展的展望的情况，请做简要分析。
1618,概述一下合并报表范围发生变化的情况说明，针对株洲欧科亿数控精密刀具股份有限公司2019年的年报。
20,根据2020年的年报数据，智谱AI的审计意见如何。
1065,根据2021年的年报数据，请简要介绍北京智谱华章科技有限公司的研发情况。
1793,概述一下主要会计数据和财务指标的情况，针对基蛋生物科技股份有限公司2019年的年报。
1827,根据2021年的年报数据，智谱AI的审计意见如何。
1906,概述一下破产重整相关事项的情况，针对内蒙古福瑞医疗科技股份有限公司2021年的年报。